Datum,Ferien
18.05.2013,True
20.05.2013,True
24.06.2013,True
25.06.2013,True
26.06.2013,True
27.06.2013,True
28.06.2013,True
04.10.2013,True
07.10.2013,True
08.10.2013,True
09.10.2013,True
10.10.2013,True
11.10.2013,True
23.12.2013,True
24.12.2013,True
25.12.2013,True
26.12.2013,True
27.12.2013,True
30.12.2013,True
31.12.2013,True
01.01.2014,True
02.01.2014,True
03.01.2014,True
07.04.2014,True
08.04.2014,True
09.04.2014,True
10.04.2014,True
11.04.2014,True
30.05.2014,True
02.06.2014,True
07.07.2014,True
08.07.2014,True
09.07.2014,True
10.07.2014,True
11.07.2014,True
04.10.2014,True
06.10.2014,True
07.10.2014,True
08.10.2014,True
09.10.2014,True
10.10.2014,True
22.12.2014,True
23.12.2014,True
24.12.2014,True
25.12.2014,True
26.12.2014,True
29.12.2014,True
30.12.2014,True
31.12.2014,True
01.01.2015,True
02.01.2015,True
03.01.2015,True
22.05.2015,True
25.05.2015,True
29.06.2015,True
30.06.2015,True
01.07.2015,True
02.07.2015,True
03.07.2015,True
04.07.2015,True
06.07.2015,True
17.10.2015,True
19.10.2015,True
20.10.2015,True
21.10.2015,True
22.10.2015,True
23.10.2015,True
23.12.2015,True
24.12.2015,True
25.12.2015,True
26.12.2015,True
29.12.2015,True
30.12.2015,True
31.12.2015,True
01.01.2016,True
02.01.2016,True
03.01.2016,True
13.05.2016,True
16.05.2016,True
23.06.2016,True
24.06.2016,True
25.06.2016,True
27.06.2016,True
17.10.2016,True
18.10.2016,True
19.10.2016,True
20.10.2016,True
21.10.2016,True
22.12.2016,True
23.12.2016,True
24.12.2016,True
25.12.2016,True
26.12.2016,True
29.12.2016,True
30.12.2016,True
31.12.2016,True
01.01.2017,True
02.01.2017,True
03.01.2017,True
07.04.2017,True
10.04.2017,True
11.04.2017,True
12.04.2017,True
13.04.2017,True
23.05.2017,True
26.06.2017,True
27.06.2017,True
28.06.2017,True
29.06.2017,True
30.06.2017,True
03.10.2017,True
04.10.2017,True
05.10.2017,True
06.10.2017,True
09.10.2017,True
23.12.2017,True
24.12.2017,True
25.12.2017,True
26.12.2017,True
27.12.2017,True
28.12.2017,True
29.12.2017,True
30.12.2017,True
31.12.2017,True
01.01.2018,True
02.01.2018,True
03.01.2018,True
19.03.2018,True
20.03.2018,True
21.03.2018,True
22.03.2018,True
23.03.2018,True
11.05.2018,True
22.05.2018,True
29.06.2018,True
02.07.2018,True
03.07.2018,True
04.07.2018,True
05.07.2018,True
06.07.2018,True
01.10.2018,True
02.10.2018,True
03.10.2018,True
04.10.2018,True
05.10.2018,True
22.12.2018,True
23.12.2018,True
24.12.2018,True
25.12.2018,True
26.12.2018,True
27.12.2018,True
28.12.2018,True
29.12.2018,True
30.12.2018,True
31.12.2018,True
01.01.2019,True
02.01.2019,True
03.01.2019,True
15.04.2019,True
16.04.2019,True
17.04.2019,True
18.04.2019,True
19.04.2019,True
31.05.2019,True
04.06.2019,True
01.07.2019,True
02.07.2019,True
03.07.2019,True
04.07.2019,True
05.07.2019,True